cv_mean	cv_std	min_taken	best_iteration	eta	max_depth	min_child_weight	gamma	subsample	colsample_bytree	alpha
0.63313	0.016804	0.36676	114	0.1	6	100	1	0.8	0.6	1
0.63313	0.016804	0.36546	114	0.1	7	100	1	0.8	0.6	1
0.63313	0.016804	0.36254	114	0.1	6	100	1	0.8	0.6	1
0.63313	0.016804	0.37025	114	0.1	7	100	1	0.8	0.6	1
0.63312	0.019908	0.21504	84	0.3	2	100	1	1	0.8	1
0.63311	0.015168	0.36383	74	0.1	7	100	1	0.9	0.6	1
0.63311	0.013563	0.5069	152	0.1	6	100	1	0.8	0.9	1
0.63311	0.013563	0.52286	152	0.1	7	100	1	0.8	0.9	1
0.63311	0.015168	0.3253	74	0.1	7	100	1	0.9	0.6	1
0.63311	0.013563	0.51006	152	0.1	6	100	1	0.8	0.9	1
0.63311	0.013563	0.52235	152	0.1	7	100	1	0.8	0.9	1
0.6331	0.014736	0.30237	251	0.2	1	100	1	0.9	0.8	1
0.63308	0.017687	0.25148	204	0.1	1	100	1	0.7	0.5	1
0.63308	0.019409	0.24127	121	0.1	2	100	1	0.8	0.6	1
0.63308	0.014508	0.28179	39	0.1	6	100	1	0.9	0.6	1
0.63308	0.014508	0.27236	39	0.1	6	100	1	0.9	0.6	1
0.63305	0.016295	0.3861	96	0.1	5	100	1	0.9	0.8	1
0.63302	0.018916	0.18456	111	0.3	1	100	1	0.7	0.5	1
0.63302	0.017264	0.38003	93	0.1	5	100	1	0.8	0.8	1
0.63301	0.01763	0.31188	182	0.1	2	100	1	1	0.7	1
0.63301	0.019593	0.26214	97	0.1	3	100	1	0.7	0.6	1
0.633	0.021081	0.1366	33	0.5	1	100	1	0.9	0.7	1
0.63299	0.022382	0.49519	535	0.03	1	100	1	0.8	0.6	1
0.63297	0.019444	0.14579	65	0.3	1	100	1	1	0.5	1
0.63295	0.01927	0.21272	120	0.2	1	100	1	0.8	0.9	1
0.63294	0.016937	0.23003	77	0.2	2	100	1	0.8	0.9	1
0.63287	0.019921	0.14254	31	0.5	1	100	1	0.9	0.9	1
0.63286	0.015571	0.18608	101	0.3	1	100	1	0.8	0.7	1
0.63285	0.018842	0.14502	54	0.4	1	100	1	1	0.6	1
0.63283	0.015252	0.33455	117	0.1	3	100	1	0.9	0.9	1
0.63282	0.019669	0.48864	550	0.03	1	100	1	0.8	0.5	1
0.63282	0.017826	0.26557	165	0.1	2	100	1	1	0.6	1
0.63282	0.014546	0.22247	98	0.2	2	100	1	0.9	0.6	1
0.63281	0.017982	0.30546	196	0.2	2	100	1	0.7	0.6	1
0.63281	0.010344	0.20752	59	0.2	2	100	1	0.6	0.8	1
0.6328	0.014451	0.38032	58	0.1	7	100	1	1	0.9	1
0.6328	0.014451	0.53591	58	0.1	7	100	1	1	0.9	1
0.63278	0.014922	0.1634	54	0.3	1	100	1	0.8	0.8	1
0.63278	0.016749	0.24974	65	0.1	3	100	1	0.9	0.7	1
0.63277	0.016424	0.22909	65	0.2	2	100	1	0.9	0.9	1
0.63275	0.018363	0.36752	163	0.1	3	100	1	0.8	0.8	1
0.63274	0.019468	0.57798	612	0.03	1	100	1	0.9	0.8	1
0.63272	0.017538	0.20237	121	0.2	1	100	1	0.8	0.7	1
0.63271	0.013631	0.19967	98	0.2	2	100	1	1	0.5	1
0.63269	0.014682	0.1971	38	0.4	2	100	1	0.6	0.8	1
0.63267	0.016568	0.20891	66	0.2	2	100	1	0.9	0.8	1
0.63264	0.020406	0.43905	129	0.1	6	100	1	0.8	0.7	1
0.63264	0.020406	0.42756	129	0.1	7	100	1	0.8	0.7	1
0.63264	0.020406	0.41633	129	0.1	6	100	1	0.8	0.7	1
0.63264	0.020406	0.41309	129	0.1	7	100	1	0.8	0.7	1
0.63261	0.019218	0.16224	54	0.3	1	100	1	0.7	0.9	1
0.63256	0.022445	0.13473	40	0.4	1	100	1	1	0.5	1
0.63256	0.013959	0.30234	241	0.1	1	100	1	0.6	0.8	1
0.63254	0.020098	0.17804	106	0.2	1	100	1	1	0.6	1
